QUADRANT,TILE #,CHANNEL #,signal name,GLOBAL ID,ASIC #,PixelCentrePosX_mm,PixelCentrePosY_mm,GlobalID,TileCentrePosX_mm,TileCentrePosY_mm
0,0,9,A0_CH9,,0,-57.96,19.92,561.00,-50.46,12.61
0,1,15,A1_CH15,,2,-32.73,1.92,329.00,-25.23,12.61
0,1,30,A1_CH30,,2,-26.73,5.31,371.00,-25.23,12.61
0,0,2,A0_CH2,,0,-60.96,17.31,520.00,-50.46,12.61
0,1,5,A1_CH5,,2,-35.73,7.92,408.00,-25.23,12.61
0,1,20,A1_CH20,,2,-29.73,11.31,450.00,-25.23,12.61
0,0,1,A0_CH1,,0,-60.96,19.92,560.00,-50.46,12.61
0,1,22,A1_CH22,,2,-29.73,5.31,370.00,-25.23,12.61
0,1,31,A1_CH31,,2,-26.73,1.92,331.00,-25.23,12.61
0,0,3,A0_CH3,,0,-60.96,13.92,480.00,-50.46,12.61
0,1,12,A1_CH12,,2,-32.73,11.31,449.00,-25.23,12.61
0,1,21,A1_CH21,,2,-29.73,7.92,410.00,-25.23,12.61
0,0,8,A0_CH8,,0,-57.96,23.31,601.00,-50.46,12.61
0,1,23,A1_CH23,,2,-29.73,1.92,330.00,-25.23,12.61
0,1,38,A1_CH38,,3,-23.73,5.31,372.00,-25.23,12.61
0,0,10,A0_CH10,,0,-57.96,17.31,521.00,-50.46,12.61
0,1,13,A1_CH13,,2,-32.73,7.92,409.00,-25.23,12.61
0,1,28,A1_CH28,,2,-26.73,11.31,451.00,-25.23,12.61
0,0,17,A0_CH17,,0,-54.96,19.92,562.00,-50.46,12.61
0,1,14,A1_CH14,,2,-32.73,5.31,369.00,-25.23,12.61
0,1,39,A1_CH39,,3,-23.73,1.92,332.00,-25.23,12.61
0,0,11,A0_CH11,,0,-57.96,13.92,481.00,-50.46,12.61
0,1,4,A1_CH4,,2,-35.73,11.31,448.00,-25.23,12.61
0,1,29,A1_CH29,,2,-26.73,7.92,411.00,-25.23,12.61
0,0,16,A0_CH16,,0,-54.96,23.31,602.00,-50.46,12.61
0,1,7,A1_CH7,,2,-35.73,1.92,328.00,-25.23,12.61
0,1,46,A1_CH46,,3,-20.73,5.31,373.00,-25.23,12.61
